200049798-00171154,东莞快意,Y1.0F3-H,1,DNN,,DC110V,480*7*12*18-3M,有,CTRL90,海1387,10米,,"DOVER英文铭牌,主机型号打印为SC80L,载重打印2050kg","V型槽，β=103，γ=50，全英文资料，防护罩防护罩WYT-Y2D-FHZ.4，右置，包角＞145°NSK轴承,DOVER包装箱",2015/1/15,,,16E3B2A,,,,,华南
预投YS150106.20,广州广日,TA1.75D-H,20,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，铭牌载重打印1050K，作业号：16815735H,D型，提供原点值，β105 γ40 ,2015/1/6,,豆绿色,BLB,,,,,华南
PO01503050016.8,广州广日,Y1.0D1-N,1,ENN,,DC110V,480*7*10*16-3G,有,华为,多8192,7米,,广日英文铭牌，作业号：16806705A,提供原点值 ,2015/3/5,,豆绿色,16E3B2A,,,,,华南
PO01501200080.6,广州广日,Y1.0E1-N,1,ENN,,DC110V,480*7*10*16-3G,有,华为,多8192,7米,,广日铭牌，作业号：16806564E,提供原点值 ,2015/1/20,,豆绿色,16E3B2A,,,,,华南
预投YS150210E,广州广日,TA2.0D-H,10,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，作业号：16815735J，载重打印1050KG,D型，提供原点值，β105 γ40 ,2015/2/10,,豆绿色,BLB,,,,,华南
PO01501090043.7,广州广日,Y1.75BC-N,4,CNN,,DC110V,410*6*10*16-3E,有,华为,多8192,7米,,广日铭牌，作业号：16806636F,提供原点值 ,2015/1/9,,豆绿色,16E3B2A,,,,,华南
预投YS150210A,广州广日,TC1.75D-H,10,,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，铭牌载重打印1050KG，作业号：16812648C,D型，提供原点值，β105 γ40 ,2015/2/10,,豆绿色,BLB,,,,,华南
PO01502060033.2,广州广日,Y1.75D1-N,1,ENN,,DC110V,480*7*10*16-3G,有,华为,多8192,7米,,广日铭牌，作业号：16806564B,提供原点值 ,2015/2/6,,豆绿色,16E3B2A,,,,,华南
预投YS150210C,广州广日,TC2.0C-H,10,,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，铭牌载重打印825KG，作业号：16812648B,D型，提供原点值，β105 γ40 ,2015/2/10,,豆绿色,BLB,,,,,华南
PO01502130029.8,广州广日,Y1.75E1-N,5,ENN,,DC110V,480*7*10*16-3G,有,华为,多8192,7米,,广日铭牌作业号：16806564F,提供原点值 ,2015/3/3,,豆绿色,16E3B2A,,,,,华南
PO01502040011.2,广州广日,Y2.0E1-N,1,ENN,,DC110V,480*7*10*16-3G,有,华为,多8192,7米,,广日铭牌，作业号：16806564G,提供原点值 ,2015/2/4,,豆绿色,16E3B2A,,,,,华南
PO01501080033.1,广州广日,Y2.5B1-N,1,CNN,,DC110V,410*5*10*16-3E,有,华为,多8192,7米,,广日铭牌，作业号：16806636D,提供原点值 ,2015/1/8,,豆绿色,16E3B2A,,,,,华南
PO01503090096.1,广州广日,Y2.5D1-N,1,ENN,复,DC110V,480*14*10*15-3F(D),有,华为,多8192,7米,,广日铭牌，作业号：16806565D,提供原点值 ,2015/3/9,,豆绿色,16E3B2A,,,,,华南
PO01501100004.2,广州广日,曳引轮,2,,,,V400*5*10*16,,,,,,,WYT-S-3F1，2.1版本，用于S1.75C，木箱包装,2015/1/13,,,,,,,,华南
PO01502070011.3,广州广日,曳引轮,2,,,,480*7*10*16-3G,,,,,,,"WYT-Y2D-3G,木箱包装",2015/2/10,,,,,,,,华南
预投1,广州永日,S1.0B-H,10,BCN,,AC220V,400*4*10*16,有,富士,海1387,7米,,蓝光铭牌,,2015/1/7,,中酞兰,14EB2,,,,,华南
15Z0025-31,广州永日,S2.0DL-H,6,BCN,,AC220V,480*6*10*16-3AI,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重1050KG,功率14.1KW.",不带电缆,2015/1/13,,中酞兰,14EB2,,,,,华南
预投2,广州永日,TA1.0B-H,10,MC,,DC110V,400*4*10*16,有,富士,海1387,7米,,蓝光铭牌,,2015/1/7,,中酞兰,BLB,,,,,华南
15Z0332,广州永日,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印：载重525KG,速度1.5M/S，曳引比1：1",不带电缆,2015/3/3,,中酞兰,BLB,,,,,华南
预投3,广州永日,TA1.5B-H,10,MC,,DC110V,400*4*10*16,有,富士,海1387,7米,,蓝光铭牌,,2015/1/7,,中酞兰,BLB,,,,,华南
预投4,广州永日,TA1.75B-H,10,MC,,DC110V,400*4*10*16,有,富士,海1387,7米,,蓝光铭牌,,2015/1/7,,中酞兰,BLB,,,,,华南
15Z0360-363,广州永日,TA2.0CL-H,4,MC,,DC110V,480*5*10*16,有,富士,海1387,,,蓝光铭牌，铭牌载重打印为825KG,不带电缆,2015/3/3,,中酞兰,BLB,,,,,华南
15Z0051-0055,广州永日,TC2.0DL-H,4,,,DC110V,480*6*10*16-2D,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重1050KG,功率14KW",不带电缆,2015/1/14,,中酞兰,BLB,,,,,华南
14Z0203.208,广州永日,U1.0DS-H,2,MM,,DC110V,480*6*10*16-2D,有,富士,海1387,7米,,蓝光铭牌，铭牌载重打印为1250KG,,2015/1/7,,中酞兰,BLB,,,,,华南
YS141230C,广州日创,S2.0D-H,1,BCC,,AC220V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/5,,中酞兰,14EB2,,,P000520141230,,华南
YS150304F,广州日创,TA1.0B-H,1,MC,,DC110V,V400*4*10*16,有,新时达,海1387,7米,,蓝光铭牌，铭牌载重打600KG ,D型，广日豆绿色 β105 γ40 ,2015/3/5,,豆绿色,BLB,,,P000920150304,,华南
YS150107A,广州日创,TA1.0D-H,2,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，广日豆绿色 β105 γ40 ,2015/1/8,,豆绿色,BLB,,,P000420150107,,华南
YS150305E,广州日创,TA1.75D-H,1,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，广日豆绿色 β105 γ40 ,2015/3/9,,豆绿色,BLB,,,P001020150305,,华南
YS150107F,广州日创,TC1.5E-H,2,,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，广日豆绿色 β105 γ40 ,2015/1/8,,豆绿色,BLB,,,P000420150107,,华南
YS150126B,广州日创,TC1.75D-H,8,,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，广日豆绿色 β105 γ40 ,2015/1/26,,豆绿色,BLB,,,P000420150123,,华南
YS150203A,广州日新,TA1.0C-H,1,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型β105 γ40 ,2015/2/4,,豆绿色,BLB,,,,,华南
YS150203B,广州日新,TA1.0D-H,1,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型β105 γ40 ,2015/2/4,,豆绿色,BLB,,,,,华南
YS150126G,广州日新,TA1.75D-H,1,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型，提供原点值，β105 γ40 ,2015/1/28,,豆绿色,BLB,,,,,华南
14Z5292,广州永日,U1.0ES-H,1,MM,,DC110V,480*6*12*18,有,富士,海1387,,,蓝光铭牌,不带电缆,2015/1/6,,中酞兰,BLB,,,,,华南
预投YS150106.1,广州永日,S1.0C-H,20,BCN,,AC220V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重825KG,功率5.7KW，",不带电缆,2015/1/6,,中酞兰,14EB2,,,,,华南
预投YS150106.4,广州永日,S1.0D-H,20,BCN,,AC220V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重1050KG,功率7KW.",不带电缆,2015/1/6,,中酞兰,14EB2,,,,,华南
预投YS150106.2,广州永日,S1.5C-H,20,BCN,,AC220V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重825KG,功率8.5KW，",不带电缆,2015/1/6,,中酞兰,14EB2,,,,,华南
预投YS150106.5,广州永日,S1.5D-H,20,BCN,,AC220V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重1050KG,功率10.6KW.",不带电缆,2015/1/6,,中酞兰,14EB2,,,,,华南
预投YS150106.3,广州永日,S1.75C-H,20,BCN,,AC220V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重825KG,功率10KW，",不带电缆,2015/1/6,,中酞兰,14EB2,,,,,华南
预投YS150106.6,广州永日,S1.75D-H,20,BCN,,AC220V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重1050KG,功率12.3KW.",不带电缆,2015/1/6,,中酞兰,14EB2,,,,,华南
15Z0238,广州永日,U1.0FS-H,1,MM,,DC110V,480*6*12*18,有,富士,海1387,,,蓝光铭牌,不带电缆,2015/2/3,,中酞兰,BLB,,,,,华南
15Z0259,广州永日,U1.5DS-H,1,MM,,DC110V,480*6*12*18,有,富士,海1387,,,蓝光铭牌,不带电缆,2015/2/6,,中酞兰,BLB,,,,,华南
预投YS150106.7,广州永日,TA1.0C-H,20,MC,,DC110V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重825KG,功率5.7KW，",不带电缆,2015/1/6,,中酞兰,BLB,,,,,华南
预投YS150106.10,广州永日,TA1.0D-H,20,MC,,DC110V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重1050KG,功率7KW.",不带电缆,2015/1/6,,中酞兰,BLB,,,,,华南
710083,珠江中富,TA1.0A-H,1,MC,,DC110V,400*4*10*16,无,默纳克,海1387,7米配,,珠江富士（中国）铭牌,D型 ,2015/1/5,,,BLB,,,,,华南
711031,珠江中富,TA1.6A-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米配,,"蓝光英文铭牌,铭牌载重打印400KG",D型,2015/1/5,,,BLB,,,,,华南
预投YS150106.8,广州永日,TA1.5C-H,20,MC,,DC110V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重825KG,功率8.5KW，",不带电缆,2015/1/6,,中酞兰,BLB,,,,,华南
预投YS150106.11,广州永日,TA1.5D-H,20,MC,,DC110V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重1050KG,功率10.6KW.",不带电缆,2015/1/6,,中酞兰,BLB,,,,,华南
711211,珠江中富,TA1.6B-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米配,,蓝光铭牌,D型,2015/1/14,,,BLB,,,,,华南
预投YS150106.9,广州永日,TA1.75C-H,20,MC,,DC110V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重825KG,功率10KW，",不带电缆,2015/1/6,,中酞兰,BLB,,,,,华南
预投YS150106.12,广州永日,TA1.75D-H,20,MC,,DC110V,400*5*10*16,有,富士,海1387,,,"蓝光铭牌，铭牌打印为载重1050KG,功率12.3KW.",不带电缆,2015/1/6,,中酞兰,BLB,,,,,华南
711135,珠江中富,TA1.6C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米配,,蓝光铭牌,D型 ,2015/1/6,,,BLB,,,,,华南
89352,珠江中富,TA1.6D-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,7米配,,蓝光铭牌,D型 ,2015/1/19,,,BLB,,,,,华南
707113,珠江中富,TA2.0DL-H,1,MC,,DC110V,480*5*10*16,有,默纳克,海1387,8米配,,"蓝光铭牌,铭牌打2000KG,1.0M/S 4:1",D型 ,2015/1/21,,,BLB,,,,,华南
711146,珠江中富,TC1.0DL-H,1,,,DC110V,480*5*10*16,无,默纳克,海1387,7米配,,蓝光英文铭牌，载重打1050KG,D型 ,2015/1/20,,,BLB,,,,,华南
90011-90012,珠江中富,U1.0DS-H,2,MM,,DC110V,480*7*10*16-2D,无,蓝光一体化,海1387,7米配,,珠江富士（中国）铭牌,D型,2015/1/22,,,BLB,,,,,华南
801145,珠江中富,U1.0ES-H,1,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米配,,珠江富士（中国）铭牌,D型,2015/2/9,,,BLB,,,,,华南
89358,珠江中富,U1.6DS-H,1,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米配,,蓝光铭牌,D型,2015/1/7,,,BLB,,,,,华南
801096-801097,珠江中富,U1.6ES-H,2,MM,,DC110V,480*7*12*18,有,富士,海1387,7米配,,蓝光铭牌,D型,2015/3/4,,,BLB,,,,,华南
707274,珠江中富,U1.75DS-H,1,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米配,,蓝光铭牌，载重打1250KG,D型,2015/1/20,,,BLB,,,,,华南
82176,珠江中富,U1.75ES-H,1,MM,,DC110V,480*7*12*18,有,富士,海1387,7米配,,珠江中富铭牌,D型 ,2015/2/2,,,BLB,,,,,华南
YM150127C,常州电梯厂,TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,10米配,,蓝光铭牌,D型,2015/1/27,,电机灰,BLB,,,,,华东2
YM150127B,常州电梯厂,TA1.5C-H,9,MC,,DC110V,400*5*10*16,有,新时达,海1387,10米配,,蓝光铭牌,D型,2015/1/27,,电机灰,BLB,,,,,华东2
YM150127D,常州电梯厂,TA1.75C-H,6,MC,,DC110V,400*5*10*16,有,新时达,海1387,10米配,,蓝光铭牌,D型,2015/1/27,,电机灰,BLB,,,,,华东2
YM150127H,成都环通机电,S1.0C-H,1,BCC,,AC220V,400*5*10*16,无,CV,海1387,7米,5米,蓝光铭牌,,2015/1/28,,,14EB2,,,,,华东2
4500802846,成都康力,S2.0DL-H,3,BCC,,AC220V,480*6*10*16-3AD,有,新时达,海1387,10米,,康力铭牌,D型，减震12块（赠），康力防护罩，康力包装，带M24*130组合螺栓，提供原点值，贴上下行标签,2015/2/4,,银灰,14EB2,,,152000279/130-150,,华东2
YM150107F,成都兴世纪,DZE-14EA,1,,,DC110V,,,,,,,,木箱包装，出厂编号：07HJJ6799,2015/1/9,,,,,,,,华东2
YM150108D,华东二个人,S转子组件D/CLZ,1,,,,WYT-SB.2,有,,,,,,发组装件，木箱包装，N轴，曳引轮400*5*10*16，，代码1.13.01.111，图号WYT-S-3D(2.3/2.4版）原主机S1.75D-N 08157701XT有机房。,2015/1/8,,,,,,,,华东2
YM150104G,江苏鼎顺电梯,S1.0B-N,3,BCC,,AC220V,400*4*10*16,有,富士,多8192,7米,,蓝光铭牌,散头,2015/1/5,,,14EB2,,,,,华东2
YM141231D,江苏菱智,U1.0DS-H,2,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/5,,,BLB,,,,,华东2
MJ20150204-01,江苏美佳,TA1.5C-H,1,MC,,DC110V,400*5*10*16,有,蓝光一体化,海1387,6米,,蓝光铭牌,D型,2015/2/4,,电机灰,BLB,,,,,华东2
MJ20150204-02,江苏美佳,TA1.5D-H,3,MC,,DC110V,400*5*10*16,有,蓝光一体化,海1387,6米,,蓝光铭牌,D型,2015/2/4,,电机灰,BLB,,,,,华东2
YM150122A,江苏中群,S2.0DL-H,2,BCC,,DC110V,480*6*10*16-3AI,有,蓝光一体化,海1387,10米,,蓝光铭牌,D型,2015/1/22,,电机灰,14EA,,,,,华东2
YM150116A,金华市盛帝斯电梯有限公司,Y4.0E3-H,1,DWW,, DC110V ,480*7*12*18-3D,有,蒙德,海1387,7米,,蓝光铭牌，铭牌载重3000KG，速度1.75M/S，曳引比4：1,,2015/1/19,,,16E3B2A,,,,,华东2
YM150304A,凯斯博电梯有限公司,S2.5D-H,2,BCC,,DC110V,400*6*10*16-3G,有,新时达,海1387,8米,,凯斯博铭牌,D型,2015/3/4,,电机灰,14EA,,,,,华东2
YM150121C ,凯斯博电梯有限公司,U1.0ES-H,1,MM,,DC110V,480*7*12*18,有,新时达,海1387,8米,,凯斯博铭牌,D型,2015/1/21,,,BLB,,,,,华东2
YM150302C,凯斯博电梯有限公司,U1.75ES-H,1,MM,,DC110V,480*7*12*18,有,新时达,海1387,8米,,凯斯博铭牌,D型,2015/3/4,,电机灰,BLB,,,,,华东2
凯斯博型式试验,凯斯博电梯有限公司,Y4.0F2-H,1,EWW,,AC220V,480*12*12*15-3F(C),有,CV,海1387,7米,,凯斯博铭牌,已与技术打过招呼，用他们的实验机器,2015/1/23,,,16E3B2,,,,,华东2
预投,康力,S2.5DL-H,22,BCC,,AC220V,480*6*10*16-3AD,有,新时达,海1387,10米,,康力铭牌,D型，减震88块（赠)，提供原点值。带M24*130组合螺栓提供原点值。贴上下行标签,2015/1/20,,银灰,14EB2,,,10027323-10~220,,华东2
4500806986,康力,U1.0FS-H,3,MM,,DC110V,480*8*10*15-2C,无,新时达,海1387,10米,,康力铭牌,"D型,提供原点值，贴上下行标签",2015/3/2,,银灰,BLB,,,"10027130/230,260,280",,华东2
YE2015-02181出口,恒达富士,TA1.0A-H,1,MC,,DC110V,400*4*10*16,有,富士,海1387,7米,,恒达富士英文铭牌MP-118A,D型,2015/3/3,,,BLB,,,2015-02181出口,,华东1
YE2015-01037-01038,恒达富士,TA1.0B-H,2,MC,,DC110V,400*4*10*16,有,富士,海1387,7米,,恒达富士英文铭牌MP-118A,D型,2015/1/19,,,BLB,,,2015-01037-01038出口,,华东1
YE2015-02057,恒达富士,TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,富士,海1387,7米,,恒达富士铭牌MP-118 ,D型,2015/2/13,,,BLB,,,2015-02057（5-5）,,华东1
YE2015-01044-01045,恒达富士,TA1.0D-H,2,MC,,DC110V,400*5*10*16,有,富士,海1387,7米,, 蓝光铭牌 ,D型,2015/1/15,,,BLB,,,2015-01044-01045,,华东1
YE2015-02057,恒达富士,TA1.5C-H,1,MC,,DC110V,400*5*10*16,有,富士,海1387,7米,,恒达富士铭牌MP-118 ,D型,2015/3/4,,,BLB,,,2015-02057,,华东1
YE2015-01033,恒达富士,TA1.5D-H,1,MC,,DC110V,400*5*10*16,有,富士,海1387,7米,, 蓝光英文铭牌 ,D型,2015/1/15,,,BLB,,,2015-01033出口,,华东1
YE2015-01085,恒达富士,TA1.6D-H,1,MC,,DC110V,400*5*10*16,有,富士,海1387,7米,,恒达富士英文铭牌MP-118A,D型,2015/1/22,,,BLB,,,2015-01085出口,,华东1
YE2015-02062-02064,恒达富士,TA1.75C-H,3,MC,,DC110V,400*5*10*16,有,富士,海1387,7米,,恒达富士铭牌MP-118 铭牌打 1.5M/S  ,D型,2015/2/10,,,BLB,,,2015-02062-02064,,华东1
YE2015-00540-00545,恒达富士,TA1.75D-H,6,MC,,DC110V,400*5*10*16,有,富士,海1387,7米,, 蓝光铭牌 ,D型,2015/3/10,,,BLB,,,2015-00540-00545,,华东1
YE2015-02156-02157,恒达富士,U1.0ES-H,2,MM,,DC110V,480*7*12*18,有,富士,海1387,7米,, 蓝光铭牌 ,D型,2015/3/3,,,BLB,,,2015-02156-02157,,华东1
YE2015-02059,恒达富士,U1.0FS-H,1,MM,,DC110V,480*7*12*18,有,富士,海1387,7米,,恒达富士铭牌MP-118 ,D型,2015/2/10,,,BLB,,,2015-02059,,华东1
YS150116B,湖北正野,TA1.75C-H,2,MC,,DC110V,400*5*10*16,有,新时达,海1387,10米,,蓝光铭牌,D型,2015/1/16,,,BLB,,,新天地12-144-145,,华南
YS150306C,湖北正野,TA1.75D-H,4,MC,,DC110V,400*5*10*16,有,新时达,海1387,10米,,蓝光铭牌,D型,2015/3/9,,,BLB,,,安陆凤凰,,华南
YS150304A,湖南信达,S2.0D-H,2,BCC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/3/5,,,14EA,,,FJS1412-120东岭逸景花园L9/L11,,华南
YE150107B,湖州南浔宏德,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌,D型,2015/1/7,,,BLB,,,,,华东1
4500666185,康力,曳引轮,1,,,,480*10*12.4*15-3F(T),,,,,,,WYT-Y2D-3F(T)木箱包装，出厂编号1276204EWW ,2015/1/13,,,,,,55024122/20,,华东2
YS150309H,惠州富士,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,蓝光铭牌,D型 ,2015/3/11,,,BLB,,,,,华南
YS150202I,惠州通力,TA1.5B-H,1,MC,,DC110V,400*4*10*16,无,默纳克,海1387,7米,,蓝光铭牌,D型,2015/2/3,,,BLB,,,A.2015.01.002,,华南
YS150108B,惠州通力,TA1.75D-H,2,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/12,,,BLB,,,,,华南
YN150116A,吉林瀚翔,DZE-14EB2S,1,,,AC220V,,,,,,,,木箱包装，上出线,2015/1/19,,,14EB2,,,,,北方
YE141231L,江苏伯爵,TA0.5D-H,2,MC,,DC110V,400*5*10*16,无,默纳克,海1387,8米,,蓝光铭牌 ,D型,2015/1/5,,,BLB,,,A14-Kn-0088/89,,华东1
YE150119P,江苏伯爵,TA1.0C-H,1,MC,,DC110V,400*5*10*16,无,新时达,海1387,8米,,蓝光铭牌 ,D型,2015/1/20,,,BLB,,,A14-Kn-0016,,华东1
YE150106A,江苏伯爵,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,8米,,蓝光铭牌 ,D型,2015/1/6,,,BLB,,,A14-K-0001,,华东1
YE150108G,江苏伯爵,TA1.5C-H,2,MC,,DC110V,400*5*10*16,有,新时达,海1387,8米,,蓝光铭牌 ,D型,2015/1/9,,,BLB,,,A14-K-0005/0006,,华东1
YE141231M,江苏伯爵,TA1.5D-H,2,MC,,DC110V,400*5*10*16,无,默纳克,海1387,8米,,蓝光铭牌 ,D型,2015/1/5,,,BLB,,,A14-Kn-0090AB,,华东1
YE150302Mb,江苏伯爵,TA1.75C-H,6,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌 ,D型,2015/3/3,,,BLB,,,A15-K-0025ABCDEF,,华东1
YE150302Ma,江苏伯爵,TA1.75D-H,6,MC,,DC110V,400*5*10*16,有,默纳克,海1387,8米,,蓝光铭牌 ,D型,2015/3/3,,,BLB,,,A15-D-0026ABCDEF,,华东1
XDL153672,连云港西德电梯有限公司(江苏西继),S1.0C-H,1,BCC,,AC220V,400*5*10*16,无,CV,海1387,10米配,5米,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/1/9,,电机灰,14EB2,,,,,华东2
XDL153891,连云港西德电梯有限公司(江苏西继),S1.0D-H,1,BCC,,AC220V,400*5*10*16,无,施耐德,海1387,10米配,5米,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/3/9,,电机灰,14EB2,,,,,华东2
XDL145714,连云港西德电梯有限公司(江苏西继),S1.5C-H,1,BCC,,AC220V,400*5*10*16,无,CV,海1387,10米配,5米,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/1/6,,电机灰,14EB2,,,,,华东2
XDL153673,连云港西德电梯有限公司(江苏西继),S1.5D-H,1,BCC,,AC220V,400*5*10*16,无,CV,海1387,10米配,5米,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/1/9,,电机灰,14EB2,,,,,华东2
XDL153913-153914,连云港西德电梯有限公司(江苏西继),S1.5E-H,2,BCC,,AC220V,340*8*8*12-3,无,CV,海1387,10米配,5米,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/3/11,,电机灰,14EB2,,,,,华东2
XDL145716-145717,连云港西德电梯有限公司(江苏西继),S1.75C-H,2,BCC,,AC220V,400*5*10*16,有,施耐德,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/1/6,,电机灰,14EB2,,,,,华东2
XDL153876-153881,连云港西德电梯有限公司(江苏西继),S1.75D-H,6,BCC,,AC220V,400*5*10*16,有,CV,海1387,10米配,,蓝光铭牌,,2015/3/5,,电机灰,14EB2,,,,,华东2
XDL153760-153763,连云港西德电梯有限公司(江苏西继),S2.0D-H,4,BCC,,AC220V,400*5*10*16,有,CV,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/1/27,,电机灰,14EB2,,,,,华东2
XDL145683-145685,连云港西德电梯有限公司(江苏西继),S2.0E-H,3,BCC,,AC220V,340*8*8*12-3,有,CV,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/1/6,,电机灰,14EB2,,,,,华东2
XDL145728,连云港西德电梯有限公司(江苏西继),TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,CV,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/1/6,,电机灰,BLB,,,,,华东2
XDL153908,连云港西德电梯有限公司(江苏西继),TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,CV,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/3/9,,电机灰,BLB,,,,,华东2
XDL153737,连云港西德电梯有限公司(江苏西继),TA1.5B-H,1,MC,,DC110V,400*4*10*16,有,CV,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/1/13,,电机灰,BLB,,,,,华东2
XDL145724-145727,连云港西德电梯有限公司(江苏西继),TA1.5C-H,4,MC,,DC110V,400*5*10*16,有,施耐德,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/1/6,,电机灰,BLB,,,,,华东2
YS141231G,李程个人（广州广日）,S1.5C-N,1,BCC,,DC110V,400*5*10*16,有,华为,多8192,7米,,蓝光铭牌,"永日蓝,发河南郑州现场",2015/1/5,,中酞兰,14EA,,,,,华南
YS141231F,李程个人（广州永日）,S1.5D-N,1,BCC,,DC110V,400*5*10*16,有,富士,多8192,7米,,蓝光铭牌,永日蓝，多带一个D型15针插头放在随机资料里，发广西玉林现场,2015/1/5,,中酞兰,14EA,,,,,华南
XDL153911-153912,连云港西德电梯有限公司(江苏西继),TA1.5D-H,2,MC,,DC110V,400*5*10*16,有,CV,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/3/11,,电机灰,BLB,,,,,华东2
XDL145712,连云港西德电梯有限公司(江苏西继),TA1.5E-H,1,MC,,DC110V,400*5*10*16,有,施耐德,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文，载重打：1050KG,西门子LOGO包装箱,2015/1/6,,电机灰,BLB,,,,,华东2
XDL153888,连云港西德电梯有限公司(江苏西继),TA1.6C-H,1,MC,,DC110V,400*5*10*16,有,CV,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/3/9,,电机灰,BLB,,,,,华东2
XDL153885,连云港西德电梯有限公司(江苏西继),TA1.6D-H,1,MC,,DC110V,400*5*10*16,有,CV,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/3/9,,电机灰,BLB,,,,,华东2
XDL153789,连云港西德电梯有限公司(江苏西继),U1.0ES-H,1,MM,,DC110V,480*8*10*16-2D,有,CV,海1387,10米配,,主机用西德中文铭牌，制动器和上行超速铭牌用蓝光中文,西门子LOGO包装箱,2015/2/4,,电机灰,BLB,,,,,华东2
